,Turn,Cue,Context,System response,MLM response,System llh,MLM llh,USR Context,USR Use knowledge,Overall Human Rating,Interesting,Engaging,Specific,Relevant,Correct,Semantically Appropriate,Understandable,Fluent
0,0,,,Let's chat!, great  go ,0.0,0.5169524326920509,0.8464194,0.84746593,,,,,,,,,
1,1,Let's chat!, Let's chat!,"I'm on mobile, but I'll PM you.", maybe  not  vacation  but  what  see  you ,0.11136879452637263,0.37057574306215557,0.98021203,0.8270332,,,,,,,,,
2,2,"I'm on mobile, but I'll PM you."," Let's chat! I'm on mobile, but I'll PM you.",Interesting, :) ,0.0,0.4150792956352234,0.5507512,0.8256693,,,,,,,,,
3,3,Interesting," Let's chat! I'm on mobile, but I'll PM you. Interesting","I'm on mobile, but I'll PM you.",'m  on  mobile  but  will  tell  you ,0.28560354879924227,0.817691051534244,0.9982696,0.9973179,,,,,,,,,
4,4,"I'm on mobile, but I'll PM you."," Let's chat! I'm on mobile, but I'll PM you. Interesting I'm on mobile, but I'll PM you.",Good to know,good  to  hear ,0.6863426864147186,0.6942211588223776,0.97270775,0.99717087,,,,,,,,,
5,5,Good to know," Let's chat! I'm on mobile, but I'll PM you. Interesting I'm on mobile, but I'll PM you. Good to know","I'm on mobile, but I'll PM you.", your  on  mobile  but  i  PM  you ,0.3436145399297987,0.7583223283290863,0.9980305,0.9973776,,,,,,,,,
6,6,"I'm on mobile, but I'll PM you."," Let's chat! I'm on mobile, but I'll PM you. Interesting I'm on mobile, but I'll PM you. Good to know I'm on mobile, but I'll PM you.",May I ask you why?, may  i  ask  you ? ,0.5576760053634644,0.6212276995182038,0.99778056,0.9973694,,,,,,,,,
7,7,May I ask you why?," Let's chat! I'm on mobile, but I'll PM you. Interesting I'm on mobile, but I'll PM you. Good to know I'm on mobile, but I'll PM you. May I ask you why?","I'm on mobile, but I'll PM you.",not  on  mobile  but  i  PM  you ,0.4015375205448696,0.8671543768474034,0.99821526,0.9973532,,,,,,,,,
8,8,"I'm on mobile, but I'll PM you."," Let's chat! I'm on mobile, but I'll PM you. Interesting I'm on mobile, but I'll PM you. Good to know I'm on mobile, but I'll PM you. May I ask you why? I'm on mobile, but I'll PM you.",But at what cost?,and  at  what ? ,0.4730013031512499,0.5615361481904984,0.99743986,0.9973705,,,,,,,,,
9,9,But at what cost?," Let's chat! I'm on mobile, but I'll PM you. Interesting I'm on mobile, but I'll PM you. Good to know I'm on mobile, but I'll PM you. May I ask you why? I'm on mobile, but I'll PM you. But at what cost?","I'm on mobile, but I'll PM you.", not  on  mobile  but  i  PM  you ,0.39432263374328613,0.8738432696887425,0.998068,0.9973275,,,,,,,,,
10,10,"I'm on mobile, but I'll PM you."," Let's chat! I'm on mobile, but I'll PM you. Interesting I'm on mobile, but I'll PM you. Good to know I'm on mobile, but I'll PM you. May I ask you why? I'm on mobile, but I'll PM you. But at what cost? I'm on mobile, but I'll PM you.",I see,i  ' ,0.27222347259521484,0.3986903727054596,0.9962992,0.99732876,,,,,,,,,
11,11,I see," Let's chat! I'm on mobile, but I'll PM you. Interesting I'm on mobile, but I'll PM you. Good to know I'm on mobile, but I'll PM you. May I ask you why? I'm on mobile, but I'll PM you. But at what cost? I'm on mobile, but I'll PM you. I see",I see, i  ' ,0.45661117136478424,0.5764318704605103,0.9964467,0.9973372,,,,,,,,,
12,12,I see," Let's chat! I'm on mobile, but I'll PM you. Interesting I'm on mobile, but I'll PM you. Good to know I'm on mobile, but I'll PM you. May I ask you why? I'm on mobile, but I'll PM you. But at what cost? I'm on mobile, but I'll PM you. I see I see",Why?,. ,0.0,0.42721688747406006,0.99409246,0.9973243,,,,,,,,,
13,13,Why?," Let's chat! I'm on mobile, but I'll PM you. Interesting I'm on mobile, but I'll PM you. Good to know I'm on mobile, but I'll PM you. May I ask you why? I'm on mobile, but I'll PM you. But at what cost? I'm on mobile, but I'll PM you. I see I see Why?",I see, i  see ,0.628805935382843,0.628805935382843,0.98633325,0.99729306,,,,,,,,,
14,14,I see," Let's chat! I'm on mobile, but I'll PM you. Interesting I'm on mobile, but I'll PM you. Good to know I'm on mobile, but I'll PM you. May I ask you why? I'm on mobile, but I'll PM you. But at what cost? I'm on mobile, but I'll PM you. I see I see Why? I see","So let it be written, ... so let it be done",...  let  it  be  done  and  or  let  it  be  written ,0.47605446266772394,0.6984259662303057,0.9836764,0.9978393,,,,,,,,,
15,15,"So let it be written, ... so let it be done","Let's chat! I'm on mobile, but I'll PM you. Interesting I'm on mobile, but I'll PM you. Good to know I'm on mobile, but I'll PM you. May I ask you why? I'm on mobile, but I'll PM you. But at what cost? I'm on mobile, but I'll PM you. I see I see Why? I see So let it be written, ... so let it be done",I see, i  see ,0.4179527908563614,0.4179527908563614,0.9945821,0.99786353,,,,,,,,,
16,16,I see,"chat! I'm on mobile, but I'll PM you. Interesting I'm on mobile, but I'll PM you. Good to know I'm on mobile, but I'll PM you. May I ask you why? I'm on mobile, but I'll PM you. But at what cost? I'm on mobile, but I'll PM you. I see I see Why? I see So let it be written, ... so let it be done I see",But at what cost?,.  at  what  cost ,0.5488894321024418,0.8290831372141838,0.9898927,0.99736327,,,,,,,,,
17,17,But at what cost?,"e, but I'll PM you. Interesting I'm on mobile, but I'll PM you. Good to know I'm on mobile, but I'll PM you. May I ask you why? I'm on mobile, but I'll PM you. But at what cost? I'm on mobile, but I'll PM you. I see I see Why? I see So let it be written, ... so let it be done I see But at what cost?",I see, i  see ,0.9880806505680084,0.9880806505680084,0.99725854,0.99732256,,,,,,,,,
18,18,I see," I'll PM you. Interesting I'm on mobile, but I'll PM you. Good to know I'm on mobile, but I'll PM you. May I ask you why? I'm on mobile, but I'll PM you. But at what cost? I'm on mobile, but I'll PM you. I see I see Why? I see So let it be written, ... so let it be done I see But at what cost? I see",and then the wolves came,.  then  the  text  come ,0.2764970723539591,0.3706046998500824,0.99297786,0.9973118,,,,,,,,,
19,19,and then the wolves came," I'm on mobile, but I'll PM you. Good to know I'm on mobile, but I'll PM you. May I ask you why? I'm on mobile, but I'll PM you. But at what cost? I'm on mobile, but I'll PM you. I see I see Why? I see So let it be written, ... so let it be done I see But at what cost? I see and then the wolves came","Tell me anything, I love learning things", asking  if .  i  love  little . ,0.19137805540646827,0.4087706357240677,0.99464875,0.9974526,,,,,,,,,
20,20,"Tell me anything, I love learning things","know I'm on mobile, but I'll PM you. May I ask you why? I'm on mobile, but I'll PM you. But at what cost? I'm on mobile, but I'll PM you. I see I see Why? I see So let it be written, ... so let it be done I see But at what cost? I see and then the wolves came Tell me anything, I love learning things",Do you have any gossip?, do  you  know  any  hobbies ,0.4703093558549881,0.5890696495771408,0.99603736,0.99744105,,,,,,,,,
21,21,Do you have any gossip?,"I'll PM you. May I ask you why? I'm on mobile, but I'll PM you. But at what cost? I'm on mobile, but I'll PM you. I see I see Why? I see So let it be written, ... so let it be done I see But at what cost? I see and then the wolves came Tell me anything, I love learning things Do you have any gossip?",I do not. I'm not a gossip., i  do  but  definitely  not  into  big ,0.41476334046040264,0.6678870884435517,0.997598,0.99694544,,,,,,,,,
22,22,I do not. I'm not a gossip.,"hy? I'm on mobile, but I'll PM you. But at what cost? I'm on mobile, but I'll PM you. I see I see Why? I see So let it be written, ... so let it be done I see But at what cost? I see and then the wolves came Tell me anything, I love learning things Do you have any gossip? I do not. I'm not a gossip.",I did not know that! I did not know anybody who do not i am not a gossip,i  did  not  know  that  i  do  not  know  people  who  is .  i  am  not  a  gossip ,0.6159828359894972,0.7671429647339715,0.99384636,0.99450654,,,,,,,,,
23,23,I did not know that! I did not know anybody who do not i am not a gossip,"I'll PM you. I see I see Why? I see So let it be written, ... so let it be done I see But at what cost? I see and then the wolves came Tell me anything, I love learning things Do you have any gossip? I do not. I'm not a gossip. I did not know that! I did not know anybody who do not i am not a gossip",I am not a gossip., i  am  not  a  gossip ,0.7644268989562988,0.9392356753349305,0.97843117,0.7960789,,,,,,,,,
24,24,I am not a gossip.,"I see Why? I see So let it be written, ... so let it be done I see But at what cost? I see and then the wolves came Tell me anything, I love learning things Do you have any gossip? I do not. I'm not a gossip. I did not know that! I did not know anybody who do not i am not a gossip I am not a gossip.",If you don't mind me asking. Has dialoggpt perceive sensor?,if  you  would  mind  me  asking what  it  the  the ,0.2965981125831604,0.4490680143237114,0.2824136,0.38758147,,,,,,,,,
25,25,If you don't mind me asking. Has dialoggpt perceive sensor?," I see But at what cost? I see and then the wolves came Tell me anything, I love learning things Do you have any gossip? I do not. I'm not a gossip. I did not know that! I did not know anybody who do not i am not a gossip I am not a gossip. If you don't mind me asking. Has dialoggpt perceive sensor?",I don't mind., i  would  know ,0.3017156918843587,0.7544222076733907,0.71037704,0.7098551,,,,,,,,,
